epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.105,2.11918,2.89043,3.21794,0.71069,0.71038,0.83058,0.60086,0.94464,2.29027,1.97144,0.000474812,0.000474812,0.000474812
2,519.387,0.95033,0.89115,1.79366,0.99844,0.99944,0.995,0.91122,0.48837,0.59288,1.28141,0.000856981,0.000856981,0.000856981
3,769.683,0.60975,0.55572,1.33514,0.9995,1,0.995,0.93663,0.42398,0.39991,1.10279,0.00114484,0.00114484,0.00114484
4,994.728,0.47555,0.43008,1.14798,0.9993,1,0.995,0.96808,0.25644,0.28637,0.95012,0.00100459,0.00100459,0.00100459
5,1218.58,0.39832,0.35898,1.04218,0.99963,1,0.995,0.97221,0.25674,0.23615,0.90974,0.000863116,0.000863116,0.000863116
6,55.3278,0.35391,0.32344,0.99246,0.99971,1,0.995,0.99063,0.20271,0.21782,0.86238,0.000721645,0.000721645,0.000721645
7,104.751,0.3232,0.29496,0.96409,0.99968,1,0.995,0.97836,0.22043,0.19721,0.85531,0.000580174,0.000580174,0.000580174
8,154.119,0.29783,0.27456,0.93689,0.99976,1,0.995,0.99341,0.14878,0.17741,0.82824,0.000438703,0.000438703,0.000438703
9,202.833,0.26932,0.25028,0.91323,0.99964,1,0.995,0.995,0.13824,0.15954,0.81333,0.000297232,0.000297232,0.000297232
10,251.724,0.24484,0.23565,0.90117,0.99965,1,0.995,0.99499,0.129,0.14531,0.81256,0.000155761,0.000155761,0.000155761
